dt,x,y,position,velocity,acceleration,jerk,heading
0.01,32.2005,-1.2000,0.0005,0.0500,5.0000,0.0000,0.0000
0.01,32.2015,-1.2000,0.0015,0.1000,5.0000,0.0000,0.0000
0.01,32.2030,-1.2000,0.0030,0.1500,5.0000,0.0000,0.0000
0.01,32.2050,-1.2000,0.0050,0.2000,5.0000,0.0000,0.0000
0.01,32.2075,-1.2000,0.0075,0.2500,5.0000,0.0000,0.0000
0.01,32.2105,-1.2000,0.0105,0.3000,5.0000,0.0000,0.0000
0.01,32.2140,-1.2000,0.0140,0.3500,5.0000,0.0000,0.0000
0.01,32.2180,-1.2000,0.0180,0.4000,5.0000,0.0000,0.0000
0.01,32.2225,-1.2000,0.0225,0.4500,5.0000,0.0000,0.0000
0.01,32.2275,-1.2000,0.0275,0.5000,5.0000,0.0000,0.0000
0.01,32.2330,-1.2000,0.0330,0.5500,5.0000,0.0000,0.0000
0.01,32.2390,-1.2000,0.0390,0.6000,5.0000,0.0000,0.0000
0.01,32.2455,-1.2000,0.0455,0.6500,5.0000,0.0000,0.0000
0.01,32.2525,-1.2000,0.0525,0.7000,5.0000,0.0000,0.0000
0.01,32.2600,-1.2000,0.0600,0.7500,5.0000,0.0000,0.0000
0.01,32.2680,-1.2000,0.0680,0.8000,5.0000,0.0000,0.0000
0.01,32.2765,-1.2000,0.0765,0.8500,5.0000,0.0000,0.0000
0.01,32.2855,-1.2000,0.0855,0.9000,5.0000,0.0000,0.0000
0.01,32.2950,-1.2000,0.0950,0.9500,5.0000,0.0000,0.0000
0.01,32.3050,-1.2000,0.1050,1.0000,5.0000,0.0000,0.0000
0.01,32.3155,-1.2000,0.1155,1.0500,5.0000,0.0000,0.0000
0.01,32.3265,-1.2000,0.1265,1.1000,5.0000,0.0000,0.0000
0.01,32.3380,-1.2000,0.1380,1.1500,5.0000,0.0000,0.0000
0.01,32.3500,-1.2000,0.1500,1.2000,5.0000,0.0000,0.0000
0.01,32.3625,-1.2000,0.1625,1.2500,5.0000,0.0000,0.0000
0.01,32.3755,-1.2000,0.1755,1.3000,5.0000,0.0000,0.0000
0.01,32.3890,-1.2000,0.1890,1.3500,5.0000,0.0000,0.0000
0.01,32.4030,-1.2000,0.2030,1.4000,5.0000,0.0000,0.0000
0.01,32.4175,-1.2000,0.2175,1.4500,5.0000,0.0000,0.0000
0.01,32.4325,-1.2000,0.2325,1.5000,5.0000,0.0000,0.0000
0.01,32.4480,-1.2000,0.2480,1.5500,5.0000,0.0000,0.0000
0.01,32.4640,-1.2000,0.2640,1.6000,5.0000,0.0000,0.0000
0.01,32.4805,-1.2000,0.2805,1.6500,5.0000,0.0000,0.0000
0.01,32.4975,-1.2000,0.2975,1.7000,5.0000,0.0000,0.0000
0.01,32.5150,-1.2000,0.3150,1.7500,5.0000,0.0000,0.0000
0.01,32.5330,-1.2000,0.3330,1.8000,5.0000,0.0000,0.0000
0.01,32.5515,-1.2000,0.3515,1.8500,5.0000,0.0000,0.0000
0.01,32.5705,-1.2000,0.3705,1.9000,5.0000,0.0000,0.0000
0.01,32.5900,-1.2000,0.3900,1.9500,5.0000,0.0000,0.0000
0.01,32.6100,-1.2000,0.4100,2.0000,5.0000,0.0000,0.0000
0.01,32.6305,-1.2000,0.4305,2.0500,5.0000,0.0000,0.0000
0.01,32.6515,-1.2000,0.4515,2.1000,5.0000,0.0000,0.0000
0.01,32.6730,-1.2000,0.4730,2.1500,5.0000,0.0000,0.0000
0.01,32.6950,-1.2000,0.4950,2.2000,5.0000,0.0000,0.0000
0.01,32.7175,-1.2000,0.5175,2.2500,5.0000,0.0000,0.0000
0.01,32.7405,-1.2000,0.5405,2.3000,5.0000,0.0000,0.0000
0.01,32.7640,-1.2000,0.5640,2.3500,5.0000,0.0000,0.0000
0.01,32.7880,-1.2000,0.5880,2.4000,5.0000,0.0000,0.0000
0.01,32.8125,-1.2000,0.6125,2.4500,5.0000,0.0000,0.0000
0.01,32.8375,-1.2000,0.6375,2.5000,5.0000,0.0000,0.0000
0.01,32.8630,-1.2000,0.6630,2.5500,5.0000,0.0000,0.0000
0.01,32.8890,-1.2000,0.6890,2.6000,5.0000,0.0000,0.0000
0.01,32.9155,-1.2000,0.7155,2.6500,5.0000,0.0000,0.0000
0.01,32.9425,-1.2000,0.7425,2.7000,5.0000,0.0000,0.0000
0.01,32.9700,-1.2000,0.7700,2.7500,5.0000,0.0000,0.0000
0.01,32.9980,-1.2000,0.7980,2.8000,5.0000,0.0000,0.0000
0.01,33.0265,-1.2000,0.8265,2.8500,5.0000,0.0000,0.0000
0.01,33.0555,-1.2000,0.8555,2.9000,5.0000,0.0000,0.0000
0.01,33.0850,-1.2000,0.8850,2.9500,5.0000,0.0000,0.0000
0.01,33.1150,-1.2000,0.9150,3.0000,5.0000,0.0000,0.0000
0.01,33.1455,-1.2000,0.9455,3.0500,5.0000,0.0000,0.0000
0.01,33.1765,-1.2000,0.9765,3.1000,5.0000,0.0000,0.0000
0.01,33.2080,-1.2000,1.0080,3.1500,5.0000,0.0000,0.0000
0.01,33.2400,-1.2000,1.0400,3.2000,5.0000,0.0000,0.0000
0.01,33.2725,-1.2000,1.0725,3.2500,5.0000,0.0000,0.0000
0.01,33.3055,-1.2000,1.1055,3.3000,5.0000,0.0000,0.0000
0.01,33.3390,-1.2000,1.1390,3.3500,5.0000,0.0000,0.0000
0.01,33.3730,-1.2000,1.1730,3.4000,5.0000,0.0000,0.0000
0.01,33.4075,-1.2000,1.2075,3.4500,5.0000,0.0000,0.0000
0.01,33.4425,-1.2000,1.2425,3.5000,5.0000,0.0000,0.0000
0.01,33.4780,-1.2000,1.2780,3.5500,5.0000,0.0000,0.0000
0.01,33.5140,-1.2000,1.3140,3.6000,5.0000,0.0000,0.0000
0.01,33.5505,-1.2000,1.3505,3.6500,5.0000,0.0000,0.0000
0.01,33.5875,-1.2000,1.3875,3.7000,5.0000,0.0000,0.0000
0.01,33.6250,-1.2000,1.4250,3.7500,5.0000,0.0000,0.0000
0.01,33.6630,-1.2000,1.4630,3.8000,5.0000,0.0000,0.0000
